epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3212,1.41894,4.89683,1.20059,0,0,0,0,1.04449,5.53605,1.60136,3.636e-05,3.636e-05,3.636e-05
2,46.148,0.96733,4.56442,1.04427,0.00019,0.08333,0.00017,0.00014,1.10808,5.73235,1.532,8.10001e-05,8.10001e-05,8.10001e-05
3,68.6023,0.86146,4.32099,1.02633,0.0098,0.7381,0.13045,0.12005,0.98262,5.10645,1.14491,0.00012474,0.00012474,0.00012474
4,90.5439,0.66348,3.76484,0.90201,0.01546,1,0.43158,0.35231,0.7828,4.704,0.85062,0.000167581,0.000167581,0.000167581
5,112.271,0.71209,3.53825,0.96582,0.01187,1,0.52056,0.35579,0.79281,4.58162,0.84806,0.000209521,0.000209521,0.000209521
6,135.085,0.71377,3.25984,0.90639,0.00908,1,0.37715,0.28397,0.721,4.50326,0.85274,0.000250561,0.000250561,0.000250561
7,157.92,0.70201,2.76543,0.93118,0.0072,1,0.46406,0.34543,0.73439,4.51246,0.81605,0.000290702,0.000290702,0.000290702
8,181.216,0.6762,2.67889,0.93876,0.00827,1,0.48806,0.31639,0.70478,4.50901,0.88083,0.000329942,0.000329942,0.000329942
9,205.923,0.6857,2.47518,0.89883,0.00822,1,0.57976,0.46272,0.59007,4.38125,0.77276,0.000368283,0.000368283,0.000368283
10,230.673,0.76921,2.48435,0.95715,0.00708,1,0.58718,0.53488,0.51699,4.19347,0.72396,0.000405724,0.000405724,0.000405724
11,255.45,0.70508,2.18392,0.90933,0.3958,0.83333,0.61991,0.51454,0.57351,4.1572,0.68141,0.000442265,0.000442265,0.000442265
12,279.936,0.63513,2.03005,0.91076,0.00694,1,0.68198,0.56163,0.62307,4.10368,0.70093,0.000477906,0.000477906,0.000477906
13,303.711,0.63083,1.7916,0.92316,0.00644,1,0.68629,0.56516,0.58303,4.0115,0.75153,0.000512647,0.000512647,0.000512647
14,327.848,0.64686,2.27109,0.93672,0.00478,1,0.73058,0.60249,0.63562,3.98081,0.92604,0.000546488,0.000546488,0.000546488
15,352.336,0.69466,2.12029,0.9244,0.00491,1,0.72637,0.6428,0.56224,3.99163,0.8492,0.000579429,0.000579429,0.000579429
16,376.928,0.62138,1.89992,0.90014,0.87568,0.33333,0.73201,0.62085,0.59113,3.92513,0.90089,0.000611471,0.000611471,0.000611471
17,400.745,0.61094,1.95771,0.93015,0.81705,0.63241,0.78932,0.69037,0.60881,3.31719,1.12031,0.000642612,0.000642612,0.000642612
18,423.629,0.68547,1.94388,0.93423,0.74455,0.63273,0.74665,0.66161,0.6001,2.97102,1.10684,0.000672854,0.000672854,0.000672854
19,447.108,0.67629,1.96154,0.93933,0.72725,0.7277,0.78366,0.68382,0.63687,2.99948,1.13295,0.000702195,0.000702195,0.000702195
20,470.925,0.68163,2.01005,0.97691,0.73071,0.66667,0.77898,0.65112,0.69478,3.16585,1.11324,0.000730637,0.000730637,0.000730637
21,493.892,0.6296,1.86408,0.92999,0.74909,0.75936,0.68806,0.54174,0.76055,2.835,1.1132,0.000729018,0.000729018,0.000729018
22,516.775,0.56229,1.63068,0.91026,0.74789,0.78275,0.77097,0.59704,0.79171,2.17665,1.11614,0.000720019,0.000720019,0.000720019
23,540.047,0.59703,1.46355,0.90929,0.81601,0.62874,0.74333,0.5809,0.85062,2.27957,1.13642,0.00071102,0.00071102,0.00071102
24,563.502,0.52762,1.64856,0.89667,0.74555,0.8014,0.74625,0.59006,0.78545,2.84982,1.1179,0.000702021,0.000702021,0.000702021
25,589.211,0.54881,1.57855,0.9144,0.7286,0.78933,0.78458,0.59759,0.85625,2.73141,1.13834,0.000693022,0.000693022,0.000693022
26,613.361,0.60101,1.631,0.96718,0.68797,0.79553,0.78961,0.63245,0.79431,2.69809,1.15596,0.000684022,0.000684022,0.000684022
27,637.786,0.63835,1.62281,0.90778,0.78268,0.66667,0.79287,0.65256,0.68411,2.92214,1.18944,0.000675023,0.000675023,0.000675023
28,661.968,0.53426,1.62608,0.90399,0.70219,0.792,0.74511,0.64385,0.68493,2.73547,1.16794,0.000666024,0.000666024,0.000666024
